Date,valor_propio,valor_regalo,valor_mejorado,peak,drawdown
2021-09-24,434468.42391958984,21097.85372214901,455566.2776417389,460020.2787632599,-0.009682184301734136
2021-09-27,434672.1462439612,21097.85372214901,455769.9999661102,460020.2787632599,-0.00923932920647826
2021-09-28,434092.3880194739,21097.85372214901,455190.2417416229,460020.2787632599,-0.010499617613863158
2021-09-29,434028.24396124633,21097.85372214901,455126.0976833954,460020.2787632599,-0.010639055071707378
2021-09-30,434718.9535140112,21097.85372214901,455816.80723616027,460020.2787632599,-0.009137578757180922
2021-10-01,435042.2441100195,21097.85372214901,456140.09783216857,460020.2787632599,-0.008434804094991137
2021-10-04,434140.4821776465,21097.85372214901,455238.3358997955,460020.2787632599,-0.010395069705014647
2021-10-05,434685.1415824011,21097.85372214901,455782.99530455016,460020.2787632599,-0.00921107971609736
2021-10-06,434588.3127974585,21097.85372214901,455686.16651960753,460020.2787632599,-0.009421567795455398
2021-10-07,435017.1002005652,21097.85372214901,456114.9539227142,460020.2787632599,-0.008489462358148457
2021-10-08,434497.63206473144,21097.85372214901,455595.4857868805,460020.2787632599,-0.009618691133084863
2021-10-11,434936.5831564978,21097.85372214901,456034.43687864684,460020.2787632599,-0.008664491694428693
2021-10-12,436508.94496908935,21097.85372214901,457606.7986912384,460020.2787632599,-0.005246464522194538
2021-10-13,437138.37409964355,21097.85372214901,458236.2278217926,460020.2787632599,-0.003878200644249013
2021-10-14,436540.8040045813,21097.85372214901,457638.65772673034,460020.2787632599,-0.005177208802473671
2021-10-15,436939.46954718383,21097.85372214901,458037.3232693329,460020.2787632599,-0.004310582783998289
2021-10-18,437451.5520857886,21097.85372214901,458549.4058079376,460020.2787632599,-0.0031974089474416855
2021-10-19,438318.72747412475,21097.85372214901,459416.5811962738,460020.2787632599,-0.001312328162160792
2021-10-20,438394.161682041,21097.85372214901,459492.01540419005,460020.2787632599,-0.0011483479825933592
2021-10-21,438431.314315708,21097.85372214901,459529.16803785705,460020.2787632599,-0.0010675849480443714
2021-10-22,438281.0097502783,21097.85372214901,459378.86347242736,460020.2787632599,-0.0013943195994683768
2021-10-25,438934.4650076941,21097.85372214901,460032.31872984313,460032.31872984313,0.0
2021-10-26,438384.6659850195,21097.85372214901,459482.51970716857,460032.31872984313,-0.0011951312990195228
2021-10-27,439839.3581198767,21097.85372214901,460937.21184202575,460937.21184202575,0.0
2021-10-28,439618.3840560034,21097.85372214901,460716.23777815246,460937.21184202575,-0.00047940165861250564
2021-10-29,440332.18172064575,21097.85372214901,461430.0354427948,461430.0354427948,0.0
2021-11-01,440031.3112448767,21097.85372214901,461129.16496702575,461430.0354427948,-0.0006520392099754049
2021-11-02,438737.5408743933,21097.85372214901,459835.39459654235,461430.0354427948,-0.0034558670302469617
2021-11-03,438404.5150565222,21097.85372214901,459502.36877867125,461430.0354427948,-0.004177592519034265
2021-11-04,438695.0646399573,21097.85372214901,459792.9183621063,461430.0354427948,-0.0035479204970206932
2021-11-05,437956.6844367102,21097.85372214901,459054.53815885924,461430.0354427948,-0.005148120194767959
2021-11-08,438383.0093955115,21097.85372214901,459480.8631176605,461430.0354427948,-0.004224199066850566
2021-11-09,438200.01935950073,21097.85372214901,459297.87308164977,461430.0354427948,-0.004620770642073541
2021-11-10,438232.7048300818,21097.85372214901,459330.5585522308,461430.0354427948,-0.004549935481658183
2021-11-11,439372.4113844946,21097.85372214901,460470.26510664367,461430.0354427948,-0.002079991033158719
2021-11-12,439939.0274809912,21097.85372214901,461036.88120314025,461430.0354427948,-0.0008520343485600469
2021-11-15,439478.3812903479,21097.85372214901,460576.23501249694,461430.0354427948,-0.001850335619090189
2021-11-16,439173.265323551,21097.85372214901,460271.11904570006,461430.0354427948,-0.00251157555442314
2021-11-17,439316.1795806006,21097.85372214901,460414.0333027496,461430.0354427948,-0.0022018552369920956
2021-11-18,438851.2107848242,21097.85372214901,459949.06450697326,461430.0354427948,-0.0032095243527014285
2021-11-19,438903.4730719641,21097.85372214901,460001.32679411315,461430.0354427948,-0.003096262789461964
2021-11-22,438380.64935675415,21097.85372214901,459478.5030789032,461430.0354427948,-0.004229313685700766
2021-11-23,437416.28787985595,21097.85372214901,458514.141602005,461430.0354427948,-0.0063192545279191934
2021-11-24,437534.8712729529,21097.85372214901,458632.7249951019,461430.0354427948,-0.006062263469712223
2021-11-25,437872.063484104,21097.85372214901,458969.91720625304,461430.0354427948,-0.005331508674291182
2021-11-26,436691.61489477905,21097.85372214901,457789.4686169281,461430.0354427948,-0.007889748274347073
2021-11-29,436835.43394079956,21097.85372214901,457933.2876629486,461430.0354427948,-0.007578067120166252
2021-11-30,436308.97148123535,21097.85372214901,457406.8252033844,461430.0354427948,-0.008719003815063037
2021-12-01,436538.3551978186,21097.85372214901,457636.20891996764,461430.0354427948,-0.008221888978654238
2021-12-02,435789.4309424475,21097.85372214901,456887.28466459655,461430.0354427948,-0.009844939490856842
2021-12-03,434329.0613745764,21097.85372214901,455426.91509672545,461430.0354427948,-0.013009817057766205
2021-12-06,433412.09159842285,21097.85372214901,454509.9453205719,461430.0354427948,-0.014997051753647298
2021-12-07,434806.1388205603,21097.85372214901,455903.99254270934,461430.0354427948,-0.011975906368519293
2021-12-08,434494.1391181067,21097.85372214901,455591.9928402557,461430.0354427948,-0.01265206456908856
2021-12-09,434052.09032049926,21097.85372214901,455149.9440426483,461430.0354427948,-0.01361006201973831
2021-12-10,433389.3850897864,21097.85372214901,454487.2388119354,461430.0354427948,-0.015046260749361426
2021-12-13,433433.214416416,21097.85372214901,454531.06813856505,461430.0354427948,-0.014951274893948744
2021-12-14,432790.4747962073,21097.85372214901,453888.3285183563,461430.0354427948,-0.01634420463592351
2021-12-15,432349.7986792639,21097.85372214901,453447.65240141295,461430.0354427948,-0.017299227246275438
2021-12-16,432661.29304877075,21097.85372214901,453759.1467709198,461430.0354427948,-0.016624164191032572
2021-12-17,432467.22858420166,21097.85372214901,453565.0823063507,461430.0354427948,-0.017044735999677117
2021-12-20,436202.4656523779,21097.85372214901,457300.31937452697,461430.0354427948,-0.008949820668489619
2021-12-21,437083.4897116736,21097.85372214901,458181.3434338226,461430.0354427948,-0.007040486659813285
2021-12-22,437047.6270827368,21097.85372214901,458145.48080488585,461430.0354427948,-0.007118207280887189
2021-12-23,437043.74502936157,21097.85372214901,458141.5987515106,461430.0354427948,-0.007126620372964125
2021-12-24,437043.74502936157,21097.85372214901,458141.5987515106,461430.0354427948,-0.007126620372964125
2021-12-27,436819.12534323486,21097.85372214901,457916.9790653839,461430.0354427948,-0.007613410717921104
2021-12-28,436741.2166365698,21097.85372214901,457839.07035871886,461430.0354427948,-0.0077822525805672504
2021-12-29,436758.91081991943,21097.85372214901,457856.7645420685,461430.0354427948,-0.007743906174849145
2021-12-30,436923.2363394812,21097.85372214901,458021.09006163024,461430.0354427948,-0.007387783887742112
2021-12-31,436923.2363394812,21097.85372214901,458021.09006163024,461430.0354427948,-0.007387783887742112
2022-01-03,437702.6766547278,21097.85372214901,458800.5303768768,461430.0354427948,-0.005698599709476343
